summary,product,comp,updated,lemmatized_str,cluster_labels,cluster1,cluster2,common_words
tab creation animation overlaps the left edge of the new tab button        ,Firefox,Theme        ,2022-10-11    ,tab creation animation overlap left edge new tab button ,0,"tab, button","tab, button","tab, button"
ability to see source of tab (the final back button)        ,Firefox,General        ,2022-10-10    ,ability see source tab final back button ,0,"tab, button","tab, button","tab, button"
unpinning a tab doesn't scroll it into view & scroll button state doesn't update        ,Firefox,Tabbed Browser        ,2022-10-11    ,unpinning tab doesnt scroll view scroll button state doesnt update ,0,"tab, button","tab, button","tab, button"
"video/audio controls should be available on the tab list, along with the mute button        ",Firefox,Tabbed Browser        ,2022-10-11    ,videoaudio control available tab list along mute button ,0,"tab, button","tab, button","tab, button"
sometimes tab list button gets broken        ,Firefox,Tabbed Browser        ,2021-11-26    ,sometimes tab list button get broken ,0,"tab, button","tab, button","tab, button"
the cursor blink on buttons and the non editable text as well        ,Firefox,General        ,2022-10-10    ,cursor blink button non editable text well ,0,"tab, button","tab, button","tab, button"
back / forward buttons sometimes get disabled for a tab.        ,Firefox,Toolbars and Customi        ,2022-10-10    ,back forward button sometimes get disabled tab ,0,"tab, button","tab, button","tab, button"
"a ""stop all"" button for use on startup/restoring tabs        ",Firefox,Tabbed Browser        ,2022-10-10    ,stop button use startuprestoring tab ,0,"tab, button","tab, button","tab, button"
radio buttons from the pdf has too many selectable choices        ,Firefox,PDF Viewer        ,2022-02-18    ,radio button pdf many selectable choice ,0,"tab, button","tab, button","tab, button"
tab tray ux: close button should animate like a swipe action        ,Firefox for iOS,General        ,2022-10-11    ,tab tray ux close button animate like swipe action ,0,"tab, button","tab, close, button","tab, button"
intermittent browser_973641_button_addon.js | found an unexpected tab at the end of test run: about:blank -        ,Firefox,Toolbars and Customi        ,2022-10-11    ,intermittent browser973641buttonaddonjs found unexpected tab end test run aboutblank ,0,"tab, button, add, test","tab, button, browser","tab, button"
occaisionally firefox is in a state where the close button on a tab does not work and a cross is displayed at top right.        ,Firefox,Tabbed Browser        ,2022-03-31    ,occaisionally firefox state close button tab work cross displayed top right ,0,"tab, button, work","tab, close, button","tab, button"
mouse middle click does not close tab when releasing button while moving mouse        ,Firefox,Theme        ,2022-10-11    ,mouse middle click close tab releasing button moving mouse ,0,"tab, button","tab, close, button","tab, button"
"troubleshooting information 'show folder' and ""show update history"" buttons hover backgrounds match table background producing odd effect        ",Firefox,Theme        ,2022-10-10    ,troubleshooting information show folder show update history button hover background match table background producing odd effect ,0,"tab, button, show","tab, button","tab, button"
"""list all tabs"" dropdown scrolling arrow buttons state does not update        ",Firefox,Tabbed Browser        ,2022-10-11    ,list tab dropdown scrolling arrow button state update ,0,"tab, button","tab, button","tab, button"
canceling a navigation initiated by the back or forward buttons within the tabsprogresslistener failes        ,Firefox,General        ,2022-10-10    ,canceling navigation initiated back forward button within tabsprogresslistener failes ,0,"tab, button","tab, button","tab, button"
tab button(keyboard) is not able to switch between fields in forms        ,Firefox,Keyboard Navigation        ,2022-10-10    ,tab buttonkeyboard able switch field form ,0,"tab, button","tab, button","tab, button"
multi-select tabs: closing tab with x button should only affect the target tab.        ,Firefox,Tabbed Browser        ,2022-10-11    ,multiselect tab closing tab x button affect target tab ,0,"tab, button","tab, button","tab, button"
"""new tab"" button's icon has pale gray outline when dark lightweight theme is in use, unlike black outline of all other icons        ",Firefox,Theme        ,2022-10-10    ,new tab button icon pale gray outline dark lightweight theme use unlike black outline icon ,0,"tab, button","tab, button","tab, button"
"after display mode changes to a low res and back, with a large amount of tabs, the tab overflow scroll buttons buttons do not ger removed.        ",Firefox,Tabbed Browser        ,2022-10-11    ,display mode change low re back large amount tab tab overflow scroll button button ger removed ,0,"tab, button","tab, button","tab, button"
the right hand side tab scroll button doesn't switch to 'disabled' state when it's supposed to at 175% dpi        ,Firefox,Tabbed Browser        ,2022-10-11    ,right hand side tab scroll button doesnt switch disabled state supposed 175 dpi ,0,"tab, button","tab, button","tab, button"
"change ""list all tabs"" button icon        ",Firefox,Theme        ,Mon 07:55    ,change list tab button icon ,0,"tab, button","tab, button","tab, button"
new addons tab instead of gtk window: too small resolution cause hidden text and buttons        ,Firefox,General        ,2022-10-10    ,new addons tab instead gtk window small resolution cause hidden text button ,1,"tab, button, add","window, tab, button","tab, button"
"the ""cfr pin tabs"" recommendation button is briefly displayed on the ""www.feedly.com"" website and it disappears after the website redirects to the ""non-www"" url variant        ",Firefox,New Tab Page        ,2022-10-11    ,cfr pin tab recommendation button briefly displayed wwwfeedlycom website disappears website redirects nonwww url variant ,0,"tab, button","tab, button","tab, button"
have an option to compact/expand multiple app tabs into one button/tab        ,Firefox,Tabbed Browser        ,2022-10-10    ,option compactexpand multiple app tab one buttontab ,0,"tab, button, option","tab, button","tab, button"
intermittent browser_967000_button_feeds.js | uncaught exception - tabselect did not happen within 20000ms | leaked 1 docshell        ,Firefox,Toolbars and Customi        ,2022-10-11    ,intermittent browser967000buttonfeedsjs uncaught exception tabselect happen within 20000ms leaked 1 docshell ,0,"tab, button","tab, button, browser","tab, button"
when minimize window with many pinned tabs some navigation buttons are shifted        ,Firefox,Tabbed Browser        ,2022-10-11    ,minimize window many pinned tab navigation button shifted ,1,"tab, button","window, tab, button","tab, button"
add option: move tab close button to the favicon        ,Firefox,Tabbed Browser        ,2022-10-11    ,add option move tab close button favicon ,0,"tab, button, add, option","tab, close, button","tab, button"
new tab button does not appear and cannot be added in firefox 55.        ,Firefox,Toolbars and Customi        ,2022-10-11    ,new tab button appear cannot added firefox 55 ,0,"tab, button, add","tab, button","tab, button"
no focused/pressed state for buttons in the customize tab        ,Firefox,Theme        ,2022-10-11    ,focusedpressed state button customize tab ,0,"tab, button","tab, button","tab, button"
the proton design tab button has uneven margin on left and right        ,Firefox,Tabbed Browser        ,2021-04-28    ,proton design tab button uneven margin left right ,0,"tab, button","tab, button","tab, button"
"""show all tabs"" buttons flickers when clicked        ",Firefox,Tabbed Browser        ,2022-10-10    ,show tab button flicker clicked ,0,"tab, button, show","tab, button","tab, button"
get back tabs close buttons options        ,Firefox,Tabbed Browser        ,2022-10-11    ,get back tab close button option ,0,"tab, button, option","tab, close, button","tab, button"
tab scroll button stops working        ,Firefox,Tabbed Browser        ,2022-10-10    ,tab scroll button stop working ,0,"tab, button, work","tab, button","tab, button"
back in new tab (middle-click or ctrl+click on back button) does not restore the scroll position on the page        ,Firefox,Tabbed Browser        ,2022-10-10    ,back new tab middleclick ctrlclick back button restore scroll position page ,0,"tab, page, button","tab, button","tab, button"
placing any button before the new tab button causes undesirable outcomes under some circumstances        ,Firefox,Tabbed Browser        ,2022-10-11    ,placing button new tab button cause undesirable outcome circumstance ,0,"tab, button","tab, button","tab, button"
"the “new tab” page is redisplayed only after the “back” button is clicked for three times if any of the “popular topics” links, except the “more recommendations” one, was previously accessed        ",Firefox,Pocket        ,2020-06-08    ,new tab page redisplayed back button clicked three time popular topic link except recommendation one previously accessed ,0,"tab, page, button","tab, button","tab, button"
attempting to drag a background tab fails when clicking on the tab where its close button will appear        ,Firefox,Tabbed Browser        ,2022-10-11    ,attempting drag background tab fails clicking tab close button appear ,0,"tab, button","tab, close, button","tab, button"
new tab comes up whenever i select the home button in addition to resetting the current page to home        ,Firefox,General        ,2022-10-10    ,new tab come whenever select home button addition resetting current page home ,0,"tab, page, button, add","tab, button","tab, button"
add an advanced tab config menu to accomodate the diverging needs of ff users        ,Firefox,Tabbed Browser        ,2022-10-10    ,add advanced tab config menu accomodate diverging need ff user ,0,"tab, menu, add","tab, menu","tab, menu"
move meatball menu icons in pocket and highlights cards if newnewtabexperience is enabled        ,Firefox,New Tab Page        ,2021-02-05    ,move meatball menu icon pocket highlight card newnewtabexperience enabled ,0,"tab, menu","tab, menu","tab, menu"
newtab personalize context menu sliding then disappearing        ,Firefox,New Tab Page        ,2022-02-11    ,newtab personalize context menu sliding disappearing ,0,"tab, menu","tab, menu","tab, menu"
[accessibility] improve context menus on new tab page        ,Firefox,New Tab Page        ,2022-10-11    ,accessibility improve context menu new tab page ,0,"tab, page, menu","tab, menu","tab, menu"
tabs from other devices menu not showing synced tabs        ,Firefox,Sync        ,2022-09-15    ,tab device menu showing synced tab ,0,"tab, menu, show","tab, menu","tab, menu"
make sure that all of the necessary flags for contenteditable areas are reset in nscontextmenu.setcontext        ,Firefox,Menus        ,2022-10-10    ,make sure necessary flag contenteditable area reset nscontextmenusetcontext ,0,"tab, menu","tab, menu","tab, menu"
put a 'switch to tab' menu on existing links        ,Firefox,Menus        ,2022-10-10    ,put switch tab menu existing link ,0,"tab, menu","tab, menu","tab, menu"
allow pinning the current page to new tab from page action menu        ,Firefox,New Tab Page        ,2022-10-11    ,allow pinning current page new tab page action menu ,0,"tab, page, menu","tab, menu","tab, menu"
"show ""bookmark tabs"" in native menu and bookmarks menus when multiple tabs are selected        ",Firefox,Bookmarks & History        ,2022-03-29    ,show bookmark tab native menu bookmark menu multiple tab selected ,0,"tab, menu, bookmark, show","tab, menu","tab, menu"
